frame_index,timestamp,face_count,raw_score,smoothed_score,verdict
0,0.0000,1,0.336137,0.336137,REAL
20,0.8000,1,0.457223,0.396680,REAL
40,1.6000,1,0.429125,0.407495,REAL
60,2.4000,1,0.217487,0.359993,REAL
80,3.2000,1,0.441695,0.376333,REAL
100,4.0000,1,0.362025,0.381511,REAL
